user_id,cluster,rfm_label
U000001,3,潜力用户
U000002,1,潜力用户
U000003,2,一般用户
U000004,1,一般用户
U000005,3,一般用户
U000006,0,流失风险用户
U000007,1,一般用户
U000008,1,流失风险用户
U000009,0,流失风险用户
U000010,1,流失风险用户
U000011,1,高价值用户
U000012,4,高价值用户
U000013,1,一般用户
U000014,3,一般用户
U000015,3,一般用户
U000016,2,一般用户
U000017,3,高价值用户
U000018,3,一般用户
U000019,3,潜力用户
U000020,3,高价值用户
U000021,1,流失风险用户
U000022,3,流失风险用户
U000023,1,流失风险用户
U000024,1,流失风险用户
U000025,3,潜力用户
U000026,4,高价值用户
U000027,3,一般用户
U000028,1,一般用户
U000029,3,高价值用户
U000030,1,一般用户
U000031,3,潜力用户
U000032,3,流失风险用户
U000033,2,潜力用户
U000034,1,流失风险用户
U000035,3,高价值用户
U000036,1,一般用户
U000037,3,一般用户
U000038,4,潜力用户
U000039,3,潜力用户
U000040,3,高价值用户
U000041,3,潜力用户
U000042,3,潜力用户
U000043,1,一般用户
U000044,0,一般用户
U000045,3,潜力用户
U000046,3,潜力用户
U000047,3,一般用户
U000048,1,一般用户
U000049,3,潜力用户
U000050,3,一般用户
U000051,3,一般用户
U000052,3,一般用户
U000053,3,潜力用户
U000054,3,一般用户
U000055,1,流失风险用户
U000056,1,流失风险用户
U000057,1,一般用户
U000058,1,一般用户
U000059,3,一般用户
U000060,1,一般用户
U000061,3,一般用户
U000062,3,一般用户
U000063,1,一般用户
U000064,2,一般用户
U000065,3,一般用户
U000066,2,流失风险用户
U000067,3,潜力用户
U000068,3,潜力用户
U000069,1,一般用户
U000070,3,高价值用户
U000071,3,潜力用户
U000072,1,一般用户
U000073,0,流失风险用户
U000074,3,高价值用户
U000075,4,一般用户
U000076,5,流失风险用户
U000077,3,高价值用户
U000078,3,高价值用户
U000079,2,一般用户
U000080,3,高价值用户
U000081,3,潜力用户
U000082,3,流失风险用户
U000083,1,一般用户
U000084,1,流失风险用户
U000085,2,潜力用户
U000086,1,潜力用户
U000087,3,潜力用户
U000088,3,高价值用户
U000089,1,一般用户
U000090,3,一般用户
U000091,3,一般用户
U000092,2,潜力用户
U000093,5,流失风险用户
U000094,1,流失风险用户
U000095,5,流失风险用户
U000096,4,一般用户
U000097,1,高价值用户
U000098,3,潜力用户
U000099,3,高价值用户
U000100,3,潜力用户
U000101,3,潜力用户
U000102,3,高价值用户
U000103,3,流失风险用户
U000104,1,流失风险用户
U000105,3,潜力用户
U000106,1,高价值用户
U000107,3,潜力用户
U000108,4,一般用户
U000109,1,潜力用户
U000110,1,潜力用户
U000111,3,高价值用户
U000112,3,潜力用户
U000113,3,潜力用户
U000114,3,高价值用户
U000115,3,潜力用户
U000116,1,流失风险用户
U000117,1,潜力用户
U000118,3,高价值用户
U000119,5,流失风险用户
U000120,2,流失风险用户
U000121,2,高价值用户
U000122,3,潜力用户
U000123,1,流失风险用户
U000124,3,一般用户
U000125,3,潜力用户
U000126,3,高价值用户
U000127,4,一般用户
U000128,3,一般用户
U000129,3,高价值用户
U000130,1,流失风险用户
U000131,3,高价值用户
U000132,2,潜力用户
U000133,3,高价值用户
U000134,3,潜力用户
U000135,2,一般用户
U000136,3,潜力用户
U000137,3,流失风险用户
U000138,1,一般用户
U000139,3,高价值用户
U000140,3,一般用户
U000141,3,潜力用户
U000142,3,潜力用户
U000143,1,流失风险用户
U000144,3,潜力用户
U000145,1,一般用户
U000146,3,流失风险用户
U000147,2,流失风险用户
U000148,1,一般用户
U000149,3,一般用户
U000150,1,潜力用户
U000151,1,流失风险用户
U000152,3,潜力用户
U000153,2,潜力用户
U000154,2,高价值用户
U000155,1,流失风险用户
U000156,1,一般用户
U000157,5,流失风险用户
U000158,2,流失风险用户
U000159,3,潜力用户
U000160,3,高价值用户
U000161,3,高价值用户
U000162,4,潜力用户
U000163,2,一般用户
U000164,3,潜力用户
U000165,1,一般用户
U000166,1,潜力用户
U000167,1,流失风险用户
U000168,1,流失风险用户
U000169,2,流失风险用户
U000170,1,流失风险用户
U000171,5,流失风险用户
U000172,5,流失风险用户
U000173,3,高价值用户
U000174,3,潜力用户
U000175,4,潜力用户
U000176,1,一般用户
U000177,4,潜力用户
U000178,3,潜力用户
U000179,2,潜力用户
U000180,3,一般用户
U000181,1,流失风险用户
U000182,1,潜力用户
U000183,0,潜力用户
U000184,1,一般用户
U000185,1,流失风险用户
U000186,2,一般用户
U000187,4,高价值用户
U000188,1,流失风险用户
U000189,2,一般用户
U000190,4,高价值用户
U000191,0,高价值用户
U000192,2,一般用户
U000193,3,高价值用户
U000194,3,潜力用户
U000195,3,高价值用户
U000196,2,一般用户
U000197,3,高价值用户
U000198,1,流失风险用户
U000199,3,高价值用户
U000200,2,一般用户
U000201,1,流失风险用户
U000202,4,一般用户
U000203,1,潜力用户
U000204,2,一般用户
U000205,3,高价值用户
U000206,3,一般用户
U000207,3,潜力用户
U000208,1,一般用户
U000209,0,流失风险用户
U000210,3,潜力用户
U000211,3,潜力用户
U000212,3,潜力用户
U000213,3,一般用户
U000214,3,潜力用户
U000215,1,潜力用户
U000216,5,流失风险用户
U000217,5,流失风险用户
U000218,5,流失风险用户
U000219,3,高价值用户
U000220,1,一般用户
U000221,3,潜力用户
U000222,1,流失风险用户
U000223,1,一般用户
U000224,1,一般用户
U000225,1,潜力用户
U000226,1,流失风险用户
U000227,1,一般用户
U000228,3,潜力用户
U000229,3,潜力用户
U000230,3,高价值用户
U000231,4,潜力用户
U000232,3,潜力用户
U000233,1,流失风险用户
U000234,3,高价值用户
U000235,4,一般用户
U000236,1,高价值用户
U000237,3,潜力用户
U000238,3,潜力用户
U000239,5,流失风险用户
U000240,0,潜力用户
U000241,3,一般用户
U000242,1,流失风险用户
U000243,0,流失风险用户
U000244,1,潜力用户
U000245,1,潜力用户
U000246,0,流失风险用户
U000247,3,潜力用户
U000248,3,潜力用户
U000249,3,流失风险用户
U000250,3,潜力用户
U000251,3,一般用户
U000252,0,流失风险用户
U000253,0,一般用户
U000254,1,一般用户
U000255,1,一般用户
U000256,1,流失风险用户
U000257,4,一般用户
U000258,3,高价值用户
U000259,3,潜力用户
U000260,2,一般用户
U000261,3,高价值用户
U000262,1,流失风险用户
U000263,1,流失风险用户
U000264,3,潜力用户
U000265,3,一般用户
U000266,1,潜力用户
U000267,1,潜力用户
U000268,3,高价值用户
U000269,3,流失风险用户
U000270,1,潜力用户
U000271,0,潜力用户
U000272,3,一般用户
U000273,0,流失风险用户
U000274,3,高价值用户
U000275,1,流失风险用户
U000276,1,潜力用户
U000277,1,流失风险用户
U000278,3,潜力用户
U000279,3,潜力用户
U000280,3,高价值用户
U000281,1,流失风险用户
U000282,1,一般用户
U000283,1,潜力用户
U000284,3,一般用户
U000285,3,潜力用户
U000286,3,高价值用户
U000287,2,潜力用户
U000288,3,潜力用户
U000289,3,潜力用户
U000290,4,一般用户
U000291,3,高价值用户
U000292,0,潜力用户
U000293,1,潜力用户
U000294,1,一般用户
U000295,3,潜力用户
U000296,1,流失风险用户
U000297,5,流失风险用户
U000298,3,高价值用户
U000299,1,流失风险用户
U000300,1,流失风险用户
U000301,3,潜力用户
U000302,4,一般用户
U000303,3,潜力用户
U000304,0,潜力用户
U000305,3,潜力用户
U000306,3,潜力用户
U000307,3,一般用户
U000308,3,一般用户
U000309,3,流失风险用户
U000310,3,高价值用户
U000311,4,潜力用户
U000312,3,高价值用户
U000313,4,潜力用户
U000314,5,流失风险用户
U000315,3,潜力用户
U000316,3,潜力用户
U000317,5,流失风险用户
U000318,1,一般用户
U000319,2,流失风险用户
U000320,1,一般用户
U000321,1,一般用户
U000322,3,潜力用户
U000323,1,一般用户
U000324,1,流失风险用户
U000325,3,高价值用户
U000326,1,高价值用户
U000327,0,潜力用户
U000328,1,高价值用户
U000329,3,潜力用户
U000330,1,一般用户
U000331,2,一般用户
U000332,3,流失风险用户
U000333,5,流失风险用户
U000334,1,潜力用户
U000335,4,潜力用户
U000336,1,一般用户
U000337,1,一般用户
U000338,3,流失风险用户
U000339,3,一般用户
U000340,4,高价值用户
U000341,3,高价值用户
U000342,1,一般用户
U000343,3,高价值用户
U000344,1,流失风险用户
U000345,5,流失风险用户
U000346,3,潜力用户
U000347,4,一般用户
U000348,1,流失风险用户
U000349,3,高价值用户
U000350,5,流失风险用户
U000351,0,流失风险用户
U000352,3,高价值用户
U000353,3,潜力用户
U000354,4,高价值用户
U000355,5,流失风险用户
U000356,1,一般用户
U000357,1,流失风险用户
U000358,1,一般用户
U000359,4,一般用户
U000360,0,潜力用户
U000361,0,潜力用户
U000362,1,一般用户
U000363,2,潜力用户
U000364,1,一般用户
U000365,1,一般用户
U000366,3,一般用户
U000367,3,潜力用户
U000368,3,一般用户
U000369,3,流失风险用户
U000370,1,流失风险用户
U000371,1,流失风险用户
U000372,1,流失风险用户
U000373,3,潜力用户
U000374,3,流失风险用户
U000375,1,一般用户
U000376,5,流失风险用户
U000377,3,高价值用户
U000378,1,一般用户
U000379,1,潜力用户
U000380,1,流失风险用户
U000381,3,潜力用户
U000382,1,流失风险用户
U000383,1,潜力用户
U000384,1,流失风险用户
U000385,0,一般用户
U000386,3,潜力用户
U000387,1,一般用户
U000388,0,一般用户
U000389,3,高价值用户
U000390,1,流失风险用户
U000391,5,流失风险用户
U000392,1,流失风险用户
U000393,3,高价值用户
U000394,0,一般用户
U000395,4,潜力用户
U000396,3,一般用户
U000397,3,一般用户
U000398,2,潜力用户
U000399,1,一般用户
U000400,1,潜力用户
U000401,3,一般用户
U000402,1,一般用户
U000403,3,高价值用户
U000404,3,一般用户
U000405,2,一般用户
U000406,1,流失风险用户
U000407,4,潜力用户
U000408,1,潜力用户
U000409,3,高价值用户
U000410,4,潜力用户
U000411,1,一般用户
U000412,3,潜力用户
U000413,1,流失风险用户
U000414,1,流失风险用户
U000415,1,流失风险用户
U000416,1,流失风险用户
U000417,1,一般用户
U000418,1,流失风险用户
U000419,4,潜力用户
U000420,3,一般用户
U000421,5,流失风险用户
U000422,1,高价值用户
U000423,3,高价值用户
U000424,3,高价值用户
U000425,5,流失风险用户
U000426,2,一般用户
U000427,3,潜力用户
U000428,0,潜力用户
U000429,1,流失风险用户
U000430,1,一般用户
U000431,1,一般用户
U000432,1,潜力用户
U000433,3,潜力用户
U000434,1,流失风险用户
U000435,1,潜力用户
U000436,3,潜力用户
U000437,1,流失风险用户
U000438,5,流失风险用户
U000439,3,潜力用户
U000440,3,潜力用户
U000441,4,潜力用户
U000442,1,高价值用户
U000443,2,一般用户
U000444,3,流失风险用户
U000445,3,一般用户
