user_id,recency_days,order_count,total_spent,r_score,f_score,m_score,rfm_label
U000001,37.0,6.0,4558.21,3.0,5.0,3.0,潜力用户
U000002,24.0,3.0,5265.46,4.0,3.0,3.0,潜力用户
U000003,17.0,1.0,3468.85,4.0,1.0,2.0,一般用户
U000004,77.0,3.0,18010.620000000003,2.0,3.0,5.0,一般用户
U000005,53.0,2.0,3047.81,3.0,2.0,2.0,一般用户
U000006,104.0,1.0,1121.78,1.0,1.0,1.0,流失风险用户
U000007,29.0,1.0,1565.74,4.0,1.0,1.0,一般用户
U000008,177.0,1.0,1859.05,1.0,1.0,2.0,流失风险用户
U000009,60.0,1.0,3518.64,2.0,1.0,2.0,流失风险用户
U000010,81.0,1.0,5805.46,2.0,1.0,3.0,流失风险用户
U000011,9.0,4.0,17016.21,5.0,4.0,5.0,高价值用户
U000012,6.0,4.0,18339.95,5.0,4.0,5.0,高价值用户
U000013,60.0,3.0,6003.5,2.0,3.0,3.0,一般用户
U000014,25.0,2.0,2936.25,4.0,2.0,2.0,一般用户
U000015,6.0,2.0,653.77,5.0,2.0,1.0,一般用户
U000016,60.0,3.0,4438.78,2.0,3.0,3.0,一般用户
U000017,17.0,8.0,17760.94,4.0,5.0,5.0,高价值用户
U000018,102.0,4.0,22760.27,1.0,4.0,5.0,一般用户
U000019,4.0,3.0,15587.439999999999,5.0,3.0,4.0,潜力用户
U000020,4.0,6.0,18808.420000000002,5.0,5.0,5.0,高价值用户
U000021,63.0,2.0,1760.0,2.0,2.0,1.0,流失风险用户
U000022,85.0,2.0,2446.35,2.0,2.0,2.0,流失风险用户
U000023,144.0,1.0,792.75,1.0,1.0,1.0,流失风险用户
U000024,126.0,2.0,5794.95,1.0,2.0,3.0,流失风险用户
U000025,4.0,5.0,4318.9400000000005,5.0,5.0,3.0,潜力用户
U000026,6.0,4.0,23084.45,5.0,4.0,5.0,高价值用户
U000027,62.0,5.0,6554.9400000000005,2.0,5.0,3.0,一般用户
U000028,115.0,3.0,9786.61,1.0,3.0,4.0,一般用户
U000029,5.0,4.0,20499.95,5.0,4.0,5.0,高价值用户
U000030,30.0,2.0,1651.98,4.0,2.0,1.0,一般用户
U000031,52.0,6.0,26876.56,3.0,5.0,5.0,潜力用户
U000032,95.0,2.0,2464.14,2.0,2.0,2.0,流失风险用户
U000033,50.0,3.0,8113.74,3.0,3.0,4.0,潜力用户
U000034,116.0,1.0,5392.52,1.0,1.0,3.0,流失风险用户
U000035,29.0,5.0,18341.97,4.0,5.0,5.0,高价值用户
U000036,25.0,1.0,2118.33,4.0,1.0,2.0,一般用户
U000037,27.0,2.0,1098.83,4.0,2.0,1.0,一般用户
U000038,50.0,5.0,18778.53,3.0,5.0,5.0,潜力用户
U000039,13.0,3.0,3995.73,5.0,3.0,2.0,潜力用户
U000040,10.0,8.0,28892.82,5.0,5.0,5.0,高价值用户
U000041,2.0,4.0,4893.99,5.0,4.0,3.0,潜力用户
U000042,20.0,5.0,5900.39,4.0,5.0,3.0,潜力用户
U000043,44.0,1.0,21563.76,3.0,1.0,5.0,一般用户
U000044,66.0,3.0,5096.57,2.0,3.0,3.0,一般用户
U000045,42.0,4.0,35678.04,3.0,4.0,5.0,潜力用户
U000046,9.0,3.0,1929.4,5.0,3.0,2.0,潜力用户
U000047,22.0,2.0,18010.33,4.0,2.0,5.0,一般用户
U000048,32.0,2.0,557.6700000000001,3.0,2.0,1.0,一般用户
U000049,53.0,5.0,4604.75,3.0,5.0,3.0,潜力用户
U000050,41.0,2.0,22054.510000000002,3.0,2.0,5.0,一般用户
U000051,61.0,4.0,37147.88,2.0,4.0,5.0,一般用户
U000052,31.0,2.0,2145.11,3.0,2.0,2.0,一般用户
U000053,37.0,7.0,39966.51,3.0,5.0,5.0,潜力用户
U000054,10.0,1.0,5371.98,5.0,1.0,3.0,一般用户
U000055,58.0,2.0,2354.64,2.0,2.0,2.0,流失风险用户
U000056,174.0,2.0,827.55,1.0,2.0,1.0,流失风险用户
U000057,0.0,1.0,689.23,5.0,1.0,1.0,一般用户
U000058,36.0,2.0,4971.6900000000005,3.0,2.0,3.0,一般用户
U000059,67.0,3.0,1260.35,2.0,3.0,1.0,一般用户
U000060,7.0,1.0,21613.69,5.0,1.0,5.0,一般用户
U000061,78.0,3.0,5025.23,2.0,3.0,3.0,一般用户
U000062,62.0,4.0,8324.01,2.0,4.0,4.0,一般用户
U000063,19.0,1.0,895.41,4.0,1.0,1.0,一般用户
U000064,29.0,2.0,3219.34,4.0,2.0,2.0,一般用户
U000065,7.0,2.0,9329.43,5.0,2.0,4.0,一般用户
U000066,131.0,2.0,618.05,1.0,2.0,1.0,流失风险用户
U000067,11.0,4.0,7458.88,5.0,4.0,3.0,潜力用户
U000068,47.0,3.0,1330.44,3.0,3.0,1.0,潜力用户
U000069,129.0,3.0,28218.63,1.0,3.0,5.0,一般用户
U000070,4.0,6.0,7947.13,5.0,5.0,4.0,高价值用户
U000071,54.0,4.0,5489.2699999999995,3.0,4.0,3.0,潜力用户
U000072,48.0,2.0,2970.9700000000003,3.0,2.0,2.0,一般用户
U000073,116.0,2.0,2577.42,1.0,2.0,2.0,流失风险用户
U000074,4.0,7.0,17691.08,5.0,5.0,5.0,高价值用户
U000075,2.0,2.0,5900.32,5.0,2.0,3.0,一般用户
U000076,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000077,13.0,8.0,15341.41,5.0,5.0,4.0,高价值用户
U000078,0.0,4.0,8292.19,5.0,4.0,4.0,高价值用户
U000079,81.0,3.0,3948.2,2.0,3.0,2.0,一般用户
U000080,5.0,8.0,37504.96,5.0,5.0,5.0,高价值用户
U000081,54.0,4.0,3303.24,3.0,4.0,2.0,潜力用户
U000082,92.0,2.0,2187.81,2.0,2.0,2.0,流失风险用户
U000083,32.0,2.0,4007.08,3.0,2.0,2.0,一般用户
U000084,146.0,1.0,14788.13,1.0,1.0,4.0,流失风险用户
U000085,41.0,3.0,5819.9800000000005,3.0,3.0,3.0,潜力用户
U000086,29.0,3.0,2971.58,4.0,3.0,2.0,潜力用户
U000087,24.0,3.0,1210.14,4.0,3.0,1.0,潜力用户
U000088,24.0,4.0,20459.54,4.0,4.0,5.0,高价值用户
U000089,109.0,3.0,21630.540000000005,1.0,3.0,5.0,一般用户
U000090,30.0,1.0,3446.56,4.0,1.0,2.0,一般用户
U000091,56.0,4.0,19040.7,2.0,4.0,5.0,一般用户
U000092,55.0,5.0,25291.65,3.0,5.0,5.0,潜力用户
U000093,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000094,161.0,1.0,3495.32,1.0,1.0,2.0,流失风险用户
U000095,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000096,52.0,2.0,1352.1599999999999,3.0,2.0,1.0,一般用户
U000097,27.0,4.0,14264.0,4.0,4.0,4.0,高价值用户
U000098,32.0,5.0,24167.66,3.0,5.0,5.0,潜力用户
U000099,25.0,6.0,11814.869999999999,4.0,5.0,4.0,高价值用户
