user_id,cluster,rfm_label
U000001,4,潜力用户
U000002,2,潜力用户
U000003,2,一般用户
U000004,2,一般用户
U000005,3,一般用户
U000006,3,流失风险用户
U000007,2,一般用户
U000008,2,流失风险用户
U000009,3,流失风险用户
U000010,2,流失风险用户
U000011,2,高价值用户
U000012,0,高价值用户
U000013,2,一般用户
U000014,4,一般用户
U000015,4,一般用户
U000016,0,一般用户
U000017,4,高价值用户
U000018,4,一般用户
U000019,4,潜力用户
U000020,4,高价值用户
U000021,3,流失风险用户
U000022,0,流失风险用户
U000023,2,流失风险用户
U000024,0,流失风险用户
U000025,4,潜力用户
U000026,0,高价值用户
U000027,4,一般用户
U000028,2,一般用户
U000029,0,高价值用户
U000030,3,一般用户
U000031,4,潜力用户
U000032,4,流失风险用户
U000033,3,潜力用户
U000034,2,流失风险用户
U000035,0,高价值用户
U000036,2,一般用户
U000037,4,一般用户
U000038,0,潜力用户
U000039,4,潜力用户
U000040,4,高价值用户
U000041,0,潜力用户
U000042,4,潜力用户
U000043,2,一般用户
U000044,2,一般用户
U000045,4,潜力用户
U000046,0,潜力用户
U000047,4,一般用户
U000048,2,一般用户
U000049,4,潜力用户
U000050,4,一般用户
U000051,4,一般用户
U000052,4,一般用户
U000053,4,潜力用户
U000054,4,一般用户
U000055,2,流失风险用户
U000056,3,流失风险用户
U000057,2,一般用户
U000058,2,一般用户
U000059,4,一般用户
U000060,2,一般用户
U000061,4,一般用户
U000062,0,一般用户
U000063,4,一般用户
U000064,4,一般用户
U000065,4,一般用户
U000066,4,流失风险用户
U000067,4,潜力用户
U000068,4,潜力用户
U000069,2,一般用户
U000070,4,高价值用户
U000071,4,潜力用户
U000072,4,一般用户
U000073,3,流失风险用户
U000074,4,高价值用户
U000075,0,一般用户
U000076,1,流失风险用户
U000077,4,高价值用户
U000078,4,高价值用户
U000079,4,一般用户
U000080,4,高价值用户
U000081,4,潜力用户
U000082,4,流失风险用户
U000083,2,一般用户
U000084,2,流失风险用户
U000085,0,潜力用户
U000086,2,潜力用户
U000087,4,潜力用户
U000088,4,高价值用户
U000089,3,一般用户
U000090,4,一般用户
U000091,4,一般用户
U000092,4,潜力用户
U000093,1,流失风险用户
U000094,2,流失风险用户
U000095,1,流失风险用户
U000096,0,一般用户
U000097,2,高价值用户
U000098,4,潜力用户
U000099,4,高价值用户
U000100,4,潜力用户
U000101,4,潜力用户
U000102,4,高价值用户
U000103,4,流失风险用户
U000104,2,流失风险用户
U000105,4,潜力用户
U000106,2,高价值用户
U000107,4,潜力用户
U000108,2,一般用户
U000109,2,潜力用户
U000110,0,潜力用户
U000111,4,高价值用户
U000112,0,潜力用户
U000113,4,潜力用户
U000114,4,高价值用户
U000115,4,潜力用户
U000116,2,流失风险用户
U000117,3,潜力用户
U000118,4,高价值用户
U000119,1,流失风险用户
U000120,4,流失风险用户
U000121,0,高价值用户
U000122,4,潜力用户
U000123,2,流失风险用户
U000124,4,一般用户
U000125,4,潜力用户
U000126,4,高价值用户
U000127,0,一般用户
U000128,4,一般用户
U000129,4,高价值用户
U000130,2,流失风险用户
U000131,4,高价值用户
U000132,0,潜力用户
U000133,4,高价值用户
U000134,4,潜力用户
U000135,0,一般用户
U000136,4,潜力用户
U000137,4,流失风险用户
U000138,3,一般用户
U000139,2,高价值用户
U000140,4,一般用户
U000141,4,潜力用户
U000142,4,潜力用户
U000143,2,流失风险用户
U000144,4,潜力用户
U000145,3,一般用户
U000146,4,流失风险用户
U000147,2,流失风险用户
U000148,2,一般用户
U000149,4,一般用户
U000150,2,潜力用户
U000151,2,流失风险用户
U000152,4,潜力用户
U000153,4,潜力用户
U000154,0,高价值用户
U000155,2,流失风险用户
U000156,4,一般用户
U000157,1,流失风险用户
U000158,4,流失风险用户
U000159,4,潜力用户
U000160,4,高价值用户
U000161,4,高价值用户
U000162,0,潜力用户
U000163,0,一般用户
U000164,4,潜力用户
U000165,2,一般用户
U000166,2,潜力用户
U000167,2,流失风险用户
U000168,4,流失风险用户
U000169,0,流失风险用户
U000170,2,流失风险用户
U000171,1,流失风险用户
U000172,1,流失风险用户
U000173,4,高价值用户
U000174,4,潜力用户
U000175,0,潜力用户
U000176,2,一般用户
U000177,0,潜力用户
U000178,4,潜力用户
U000179,4,潜力用户
U000180,4,一般用户
U000181,2,流失风险用户
U000182,2,潜力用户
U000183,4,潜力用户
U000184,3,一般用户
U000185,2,流失风险用户
U000186,0,一般用户
U000187,0,高价值用户
U000188,2,流失风险用户
U000189,0,一般用户
U000190,0,高价值用户
U000191,2,高价值用户
U000192,0,一般用户
U000193,4,高价值用户
U000194,0,潜力用户
U000195,4,高价值用户
U000196,3,一般用户
U000197,4,高价值用户
U000198,3,流失风险用户
U000199,0,高价值用户
U000200,2,一般用户
U000201,0,流失风险用户
U000202,0,一般用户
U000203,3,潜力用户
U000204,0,一般用户
U000205,4,高价值用户
U000206,4,一般用户
U000207,4,潜力用户
U000208,2,一般用户
U000209,3,流失风险用户
U000210,4,潜力用户
U000211,4,潜力用户
U000212,4,潜力用户
U000213,4,一般用户
U000214,4,潜力用户
U000215,2,潜力用户
U000216,1,流失风险用户
U000217,1,流失风险用户
U000218,1,流失风险用户
U000219,3,高价值用户
U000220,0,一般用户
U000221,4,潜力用户
U000222,2,流失风险用户
U000223,2,一般用户
U000224,4,一般用户
U000225,0,潜力用户
U000226,2,流失风险用户
U000227,3,一般用户
U000228,4,潜力用户
U000229,4,潜力用户
U000230,4,高价值用户
U000231,0,潜力用户
U000232,4,潜力用户
U000233,2,流失风险用户
U000234,0,高价值用户
U000235,0,一般用户
U000236,2,高价值用户
U000237,4,潜力用户
