user_id,gender,city,member_level,order_count,total_spent,avg_order_value
U003697,女,重庆,铜牌会员,6,80747.91,13457.99
U000674,男,济南,普通会员,9,70257.35,7806.37
U004105,女,西安,银牌会员,8,64070.23,8008.78
U002622,女,杭州,普通会员,5,63384.51,12676.9
U002157,女,苏州,银牌会员,6,63183.13,10530.52
U000195,女,郑州,铜牌会员,4,63148.96,15787.24
U002270,男,重庆,铜牌会员,4,63010.52,15752.63
U004414,男,广州,普通会员,8,59453.31,7431.66
U002062,男,西安,普通会员,7,57702.28,8243.18
U002381,女,福州,金牌会员,5,57291.25,11458.25
U001876,女,长沙,铜牌会员,10,56277.34,5627.73
U003006,女,重庆,普通会员,5,56035.6,11207.12
U004187,女,西安,金牌会员,8,55590.07,6948.76
U000520,男,重庆,金牌会员,3,55411.52,18470.51
U003151,男,杭州,普通会员,9,55352.73,6150.3
U001257,女,西安,铜牌会员,5,53403.13,10680.63
U001952,男,南京,铜牌会员,6,53028.76,8838.13
U001720,男,长沙,钻石会员,5,52875.78,10575.16
U004265,男,杭州,金牌会员,6,52603.66,8767.28
U002809,女,重庆,银牌会员,8,52206.81,6525.85
