city,user_count,order_count,total_revenue,avg_order_value
苏州,251,835,2685343.51,3215.98
重庆,248,771,2634660.61,3417.2
北京,244,824,2549122.31,3093.6
济南,242,774,2524038.36,3261.03
厦门,252,786,2454536.32,3122.82
长沙,234,782,2406615.16,3077.51
西安,250,777,2404630.59,3094.76
广州,237,734,2366792.57,3224.51
上海,247,760,2322141.14,3055.45
杭州,240,742,2256306.1,3040.84
郑州,257,779,2189022.79,2810.04
福州,225,766,2187589.85,2855.86
天津,235,691,2182238.79,3158.09
青岛,228,763,2177006.63,2853.22
合肥,240,722,2169843.59,3005.32
成都,224,731,2166509.37,2963.76
宁波,231,725,2165442.65,2986.82
深圳,234,723,2161916.17,2990.2
南京,216,666,2096404.34,3147.75
武汉,208,649,2065819.1,3183.08
