user_id,browse_count,click_count,favorite_count,cart_count,purchase_count,total_spent
U001701,3.0,1.0,2.0,1.0,1,29902.97
U002961,0.0,2.0,2.0,1.0,1,24885.25
U003253,1.0,1.0,2.0,0.0,1,24372.67
U000084,7.0,0.0,1.0,1.0,1,14788.13
U001836,3.0,1.0,1.0,1.0,1,4919.74
U003232,3.0,1.0,1.0,1.0,1,4817.76
U003140,1.0,2.0,0.0,0.0,1,4811.23
U002130,4.0,2.0,2.0,1.0,1,4716.38
U004618,1.0,2.0,3.0,2.0,1,2841.64
U004391,2.0,2.0,1.0,0.0,1,2821.31
U004124,3.0,0.0,3.0,3.0,1,2594.89
U004177,3.0,2.0,1.0,0.0,1,1981.78
U001725,5.0,4.0,2.0,0.0,1,1953.29
U001321,6.0,3.0,3.0,0.0,1,1823.83
U004387,0.0,1.0,0.0,1.0,1,1790.46
U002124,2.0,1.0,0.0,0.0,1,1745.64
U000875,5.0,3.0,3.0,0.0,1,1731.72
U004714,5.0,3.0,2.0,4.0,1,1682.66
U000586,4.0,0.0,2.0,0.0,1,1500.41
U001261,4.0,2.0,0.0,1.0,1,1333.98
