user_id,cluster,rfm_label
U000001,3,潜力用户
U000002,2,潜力用户
U000003,2,一般用户
U000004,2,一般用户
U000005,3,一般用户
U000006,2,流失风险用户
U000007,2,一般用户
U000008,2,流失风险用户
U000009,2,流失风险用户
U000010,2,流失风险用户
U000011,2,高价值用户
U000012,0,高价值用户
U000013,2,一般用户
U000014,3,一般用户
U000015,3,一般用户
U000016,0,一般用户
U000017,3,高价值用户
U000018,3,一般用户
U000019,3,潜力用户
U000020,3,高价值用户
U000021,2,流失风险用户
U000022,3,流失风险用户
U000023,2,流失风险用户
U000024,0,流失风险用户
U000025,3,潜力用户
U000026,0,高价值用户
U000027,3,一般用户
U000028,2,一般用户
U000029,3,高价值用户
U000030,2,一般用户
U000031,3,潜力用户
U000032,3,流失风险用户
U000033,0,潜力用户
U000034,2,流失风险用户
U000035,3,高价值用户
U000036,2,一般用户
U000037,3,一般用户
U000038,0,潜力用户
U000039,3,潜力用户
U000040,3,高价值用户
U000041,3,潜力用户
U000042,3,潜力用户
U000043,2,一般用户
U000044,2,一般用户
U000045,3,潜力用户
U000046,0,潜力用户
U000047,3,一般用户
U000048,2,一般用户
U000049,3,潜力用户
U000050,3,一般用户
U000051,3,一般用户
U000052,3,一般用户
U000053,3,潜力用户
U000054,3,一般用户
U000055,2,流失风险用户
U000056,3,流失风险用户
U000057,2,一般用户
U000058,2,一般用户
U000059,3,一般用户
U000060,2,一般用户
U000061,3,一般用户
U000062,0,一般用户
U000063,3,一般用户
U000064,3,一般用户
U000065,3,一般用户
U000066,0,流失风险用户
U000067,3,潜力用户
U000068,3,潜力用户
U000069,2,一般用户
U000070,3,高价值用户
U000071,3,潜力用户
U000072,2,一般用户
U000073,2,流失风险用户
U000074,3,高价值用户
U000075,3,一般用户
U000076,1,流失风险用户
U000077,3,高价值用户
U000078,3,高价值用户
U000079,0,一般用户
U000080,3,高价值用户
U000081,3,潜力用户
U000082,3,流失风险用户
U000083,2,一般用户
U000084,2,流失风险用户
U000085,0,潜力用户
U000086,2,潜力用户
U000087,3,潜力用户
U000088,3,高价值用户
U000089,2,一般用户
U000090,3,一般用户
U000091,3,一般用户
U000092,0,潜力用户
U000093,1,流失风险用户
U000094,2,流失风险用户
U000095,1,流失风险用户
U000096,0,一般用户
U000097,2,高价值用户
U000098,3,潜力用户
U000099,3,高价值用户
U000100,3,潜力用户
U000101,3,潜力用户
U000102,3,高价值用户
U000103,3,流失风险用户
U000104,2,流失风险用户
U000105,3,潜力用户
U000106,2,高价值用户
U000107,3,潜力用户
U000108,0,一般用户
U000109,2,潜力用户
U000110,0,潜力用户
U000111,3,高价值用户
U000112,0,潜力用户
U000113,0,潜力用户
U000114,3,高价值用户
U000115,3,潜力用户
U000116,2,流失风险用户
U000117,2,潜力用户
U000118,3,高价值用户
U000119,1,流失风险用户
U000120,0,流失风险用户
U000121,0,高价值用户
U000122,3,潜力用户
U000123,2,流失风险用户
U000124,3,一般用户
U000125,3,潜力用户
U000126,3,高价值用户
U000127,0,一般用户
U000128,3,一般用户
U000129,3,高价值用户
U000130,2,流失风险用户
U000131,3,高价值用户
U000132,0,潜力用户
U000133,3,高价值用户
U000134,3,潜力用户
U000135,0,一般用户
U000136,3,潜力用户
U000137,3,流失风险用户
U000138,2,一般用户
U000139,3,高价值用户
U000140,3,一般用户
U000141,3,潜力用户
U000142,3,潜力用户
U000143,2,流失风险用户
U000144,3,潜力用户
U000145,2,一般用户
U000146,3,流失风险用户
U000147,2,流失风险用户
U000148,2,一般用户
U000149,3,一般用户
U000150,2,潜力用户
U000151,2,流失风险用户
U000152,3,潜力用户
U000153,3,潜力用户
U000154,0,高价值用户
U000155,2,流失风险用户
U000156,0,一般用户
U000157,1,流失风险用户
U000158,2,流失风险用户
U000159,3,潜力用户
U000160,3,高价值用户
U000161,3,高价值用户
U000162,0,潜力用户
U000163,0,一般用户
U000164,3,潜力用户
U000165,2,一般用户
U000166,2,潜力用户
U000167,2,流失风险用户
U000168,2,流失风险用户
U000169,0,流失风险用户
U000170,2,流失风险用户
U000171,1,流失风险用户
U000172,1,流失风险用户
U000173,3,高价值用户
U000174,3,潜力用户
U000175,3,潜力用户
U000176,2,一般用户
U000177,0,潜力用户
U000178,3,潜力用户
U000179,0,潜力用户
U000180,3,一般用户
U000181,2,流失风险用户
U000182,2,潜力用户
U000183,3,潜力用户
U000184,2,一般用户
U000185,2,流失风险用户
U000186,0,一般用户
U000187,0,高价值用户
U000188,2,流失风险用户
U000189,0,一般用户
U000190,0,高价值用户
U000191,2,高价值用户
U000192,0,一般用户
U000193,3,高价值用户
U000194,3,潜力用户
U000195,0,高价值用户
U000196,2,一般用户
U000197,3,高价值用户
U000198,2,流失风险用户
U000199,0,高价值用户
U000200,0,一般用户
U000201,2,流失风险用户
U000202,0,一般用户
U000203,2,潜力用户
U000204,0,一般用户
U000205,3,高价值用户
U000206,3,一般用户
U000207,3,潜力用户
U000208,2,一般用户
U000209,2,流失风险用户
U000210,3,潜力用户
U000211,3,潜力用户
U000212,3,潜力用户
U000213,3,一般用户
U000214,3,潜力用户
U000215,2,潜力用户
U000216,1,流失风险用户
U000217,1,流失风险用户
U000218,1,流失风险用户
U000219,2,高价值用户
U000220,2,一般用户
U000221,3,潜力用户
U000222,2,流失风险用户
U000223,2,一般用户
U000224,2,一般用户
U000225,0,潜力用户
U000226,2,流失风险用户
U000227,2,一般用户
U000228,3,潜力用户
U000229,3,潜力用户
U000230,3,高价值用户
U000231,0,潜力用户
U000232,3,潜力用户
U000233,2,流失风险用户
U000234,0,高价值用户
U000235,0,一般用户
U000236,2,高价值用户
U000237,3,潜力用户
U000238,3,潜力用户
U000239,1,流失风险用户
U000240,2,潜力用户
U000241,3,一般用户
U000242,2,流失风险用户
U000243,2,流失风险用户
U000244,2,潜力用户
U000245,2,潜力用户
U000246,2,流失风险用户
U000247,3,潜力用户
U000248,3,潜力用户
U000249,3,流失风险用户
U000250,3,潜力用户
U000251,3,一般用户
U000252,2,流失风险用户
U000253,2,一般用户
U000254,2,一般用户
U000255,2,一般用户
U000256,2,流失风险用户
U000257,0,一般用户
U000258,3,高价值用户
U000259,0,潜力用户
U000260,0,一般用户
U000261,3,高价值用户
U000262,2,流失风险用户
U000263,2,流失风险用户
U000264,3,潜力用户
U000265,3,一般用户
U000266,2,潜力用户
U000267,2,潜力用户
U000268,3,高价值用户
U000269,3,流失风险用户
U000270,2,潜力用户
U000271,3,潜力用户
U000272,3,一般用户
U000273,0,流失风险用户
U000274,3,高价值用户
U000275,2,流失风险用户
U000276,2,潜力用户
U000277,2,流失风险用户
U000278,0,潜力用户
U000279,3,潜力用户
U000280,3,高价值用户
U000281,2,流失风险用户
U000282,2,一般用户
U000283,2,潜力用户
U000284,3,一般用户
U000285,3,潜力用户
U000286,3,高价值用户
U000287,2,潜力用户
U000288,3,潜力用户
U000289,3,潜力用户
U000290,0,一般用户
U000291,3,高价值用户
U000292,3,潜力用户
U000293,2,潜力用户
U000294,2,一般用户
U000295,3,潜力用户
U000296,2,流失风险用户
U000297,1,流失风险用户
U000298,3,高价值用户
U000299,2,流失风险用户
U000300,2,流失风险用户
U000301,3,潜力用户
U000302,0,一般用户
U000303,3,潜力用户
U000304,2,潜力用户
U000305,3,潜力用户
U000306,3,潜力用户
U000307,3,一般用户
U000308,3,一般用户
U000309,3,流失风险用户
U000310,3,高价值用户
U000311,0,潜力用户
U000312,3,高价值用户
U000313,0,潜力用户
U000314,1,流失风险用户
U000315,3,潜力用户
U000316,3,潜力用户
U000317,1,流失风险用户
U000318,2,一般用户
U000319,0,流失风险用户
U000320,2,一般用户
U000321,2,一般用户
U000322,3,潜力用户
U000323,2,一般用户
U000324,2,流失风险用户
U000325,3,高价值用户
U000326,3,高价值用户
U000327,2,潜力用户
U000328,2,高价值用户
U000329,3,潜力用户
U000330,0,一般用户
U000331,0,一般用户
U000332,3,流失风险用户
U000333,1,流失风险用户
U000334,2,潜力用户
U000335,0,潜力用户
U000336,2,一般用户
U000337,2,一般用户
U000338,3,流失风险用户
U000339,3,一般用户
U000340,0,高价值用户
U000341,3,高价值用户
U000342,2,一般用户
U000343,3,高价值用户
U000344,2,流失风险用户
U000345,1,流失风险用户
U000346,0,潜力用户
U000347,0,一般用户
U000348,2,流失风险用户
U000349,3,高价值用户
U000350,1,流失风险用户
U000351,2,流失风险用户
U000352,3,高价值用户
U000353,3,潜力用户
U000354,0,高价值用户
U000355,1,流失风险用户
U000356,2,一般用户
U000357,2,流失风险用户
U000358,2,一般用户
U000359,2,一般用户
U000360,2,潜力用户
U000361,0,潜力用户
U000362,2,一般用户
U000363,0,潜力用户
U000364,2,一般用户
U000365,2,一般用户
U000366,3,一般用户
U000367,3,潜力用户
U000368,3,一般用户
U000369,3,流失风险用户
U000370,2,流失风险用户
U000371,2,流失风险用户
U000372,2,流失风险用户
U000373,3,潜力用户
U000374,3,流失风险用户
U000375,2,一般用户
U000376,1,流失风险用户
U000377,3,高价值用户
U000378,2,一般用户
U000379,2,潜力用户
U000380,2,流失风险用户
U000381,3,潜力用户
U000382,2,流失风险用户
U000383,2,潜力用户
U000384,2,流失风险用户
U000385,2,一般用户
U000386,3,潜力用户
U000387,2,一般用户
U000388,2,一般用户
U000389,3,高价值用户
U000390,2,流失风险用户
U000391,1,流失风险用户
U000392,2,流失风险用户
U000393,0,高价值用户
U000394,2,一般用户
U000395,0,潜力用户
U000396,3,一般用户
U000397,3,一般用户
U000398,2,潜力用户
U000399,2,一般用户
U000400,2,潜力用户
U000401,3,一般用户
U000402,0,一般用户
U000403,3,高价值用户
U000404,3,一般用户
U000405,0,一般用户
U000406,2,流失风险用户
U000407,0,潜力用户
U000408,0,潜力用户
U000409,0,高价值用户
U000410,3,潜力用户
U000411,2,一般用户
U000412,3,潜力用户
U000413,2,流失风险用户
U000414,2,流失风险用户
U000415,2,流失风险用户
U000416,2,流失风险用户
U000417,2,一般用户
U000418,3,流失风险用户
U000419,0,潜力用户
U000420,3,一般用户
U000421,1,流失风险用户
U000422,2,高价值用户
U000423,3,高价值用户
U000424,3,高价值用户
U000425,1,流失风险用户
U000426,0,一般用户
U000427,0,潜力用户
U000428,2,潜力用户
U000429,3,流失风险用户
U000430,2,一般用户
U000431,2,一般用户
U000432,2,潜力用户
U000433,0,潜力用户
U000434,2,流失风险用户
U000435,2,潜力用户
U000436,0,潜力用户
U000437,2,流失风险用户
U000438,1,流失风险用户
U000439,3,潜力用户
U000440,3,潜力用户
U000441,0,潜力用户
U000442,2,高价值用户
U000443,0,一般用户
U000444,3,流失风险用户
U000445,3,一般用户
U000446,3,潜力用户
U000447,3,高价值用户
U000448,3,潜力用户
U000449,2,一般用户
U000450,2,流失风险用户
U000451,2,潜力用户
U000452,0,潜力用户
U000453,2,一般用户
U000454,2,一般用户
U000455,2,一般用户
U000456,3,潜力用户
U000457,3,一般用户
U000458,3,高价值用户
U000459,0,潜力用户
U000460,3,高价值用户
U000461,2,流失风险用户
U000462,0,高价值用户
U000463,2,流失风险用户
U000464,3,高价值用户
U000465,2,流失风险用户
U000466,0,潜力用户
U000467,0,潜力用户
U000468,0,一般用户
U000469,3,一般用户
U000470,3,一般用户
U000471,2,一般用户
U000472,0,潜力用户
U000473,0,潜力用户
U000474,2,一般用户
U000475,2,流失风险用户
U000476,2,流失风险用户
U000477,3,流失风险用户
U000478,2,流失风险用户
U000479,2,潜力用户
U000480,3,高价值用户
U000481,2,一般用户
U000482,0,一般用户
U000483,2,一般用户
U000484,2,一般用户
U000485,3,高价值用户
U000486,3,潜力用户
U000487,1,流失风险用户
U000488,2,一般用户
U000489,2,高价值用户
U000490,3,一般用户
U000491,3,潜力用户
U000492,3,高价值用户
U000493,3,潜力用户
U000494,2,一般用户
U000495,3,高价值用户
U000496,0,一般用户
U000497,1,流失风险用户
U000498,0,高价值用户
U000499,2,一般用户
U000500,0,潜力用户
U000501,3,潜力用户
U000502,3,一般用户
U000503,2,流失风险用户
U000504,2,潜力用户
U000505,0,一般用户
U000506,3,一般用户
U000507,0,流失风险用户
U000508,2,流失风险用户
U000509,2,流失风险用户
U000510,3,潜力用户
U000511,0,流失风险用户
U000512,2,流失风险用户
U000513,2,潜力用户
U000514,3,一般用户
U000515,3,流失风险用户
U000516,3,潜力用户
U000517,2,流失风险用户
U000518,2,一般用户
U000519,3,潜力用户
U000520,3,潜力用户
U000521,2,一般用户
U000522,0,流失风险用户
U000523,2,流失风险用户
U000524,2,一般用户
U000525,2,潜力用户
U000526,2,流失风险用户
U000527,2,一般用户
U000528,1,流失风险用户
U000529,3,高价值用户
U000530,2,流失风险用户
U000531,3,潜力用户
U000532,2,流失风险用户
U000533,2,潜力用户
U000534,3,潜力用户
U000535,3,高价值用户
U000536,1,流失风险用户
U000537,0,潜力用户
U000538,2,流失风险用户
U000539,2,一般用户
U000540,1,流失风险用户
U000541,2,一般用户
U000542,2,流失风险用户
U000543,0,潜力用户
U000544,3,一般用户
U000545,2,潜力用户
U000546,0,流失风险用户
U000547,2,流失风险用户
U000548,1,流失风险用户
U000549,0,一般用户
U000550,3,潜力用户
U000551,0,潜力用户
U000552,3,高价值用户
U000553,0,潜力用户
U000554,2,一般用户
U000555,3,高价值用户
U000556,0,一般用户
U000557,2,一般用户
U000558,3,高价值用户
U000559,3,潜力用户
U000560,1,流失风险用户
U000561,2,一般用户
U000562,3,一般用户
U000563,3,高价值用户
U000564,3,潜力用户
U000565,1,流失风险用户
U000566,3,潜力用户
U000567,0,潜力用户
U000568,0,潜力用户
U000569,3,潜力用户
U000570,2,一般用户
U000571,0,一般用户
U000572,1,流失风险用户
U000573,3,一般用户
U000574,3,一般用户
U000575,3,潜力用户
U000576,2,一般用户
U000577,3,潜力用户
U000578,2,流失风险用户
U000579,2,流失风险用户
U000580,3,高价值用户
U000581,0,潜力用户
U000582,2,流失风险用户
U000583,2,流失风险用户
U000584,3,高价值用户
U000585,3,高价值用户
U000586,2,潜力用户
U000587,2,潜力用户
U000588,0,高价值用户
U000589,2,一般用户
U000590,0,一般用户
U000591,3,一般用户
U000592,2,流失风险用户
U000593,2,一般用户
U000594,3,潜力用户
U000595,3,潜力用户
U000596,0,一般用户
U000597,3,一般用户
U000598,3,高价值用户
U000599,3,潜力用户
U000600,2,流失风险用户
U000601,0,高价值用户
U000602,0,一般用户
U000603,3,一般用户
U000604,3,潜力用户
U000605,2,潜力用户
U000606,0,一般用户
U000607,2,潜力用户
U000608,3,流失风险用户
U000609,0,潜力用户
U000610,2,流失风险用户
U000611,3,一般用户
U000612,0,潜力用户
U000613,2,流失风险用户
U000614,2,一般用户
U000615,3,高价值用户
U000616,3,高价值用户
U000617,2,一般用户
U000618,3,高价值用户
U000619,2,流失风险用户
U000620,3,高价值用户
U000621,2,一般用户
U000622,3,潜力用户
U000623,2,潜力用户
U000624,2,潜力用户
U000625,3,高价值用户
U000626,2,流失风险用户
U000627,3,一般用户
U000628,3,高价值用户
U000629,0,一般用户
U000630,0,潜力用户
U000631,2,流失风险用户
U000632,3,高价值用户
U000633,2,一般用户
U000634,3,高价值用户
U000635,1,流失风险用户
U000636,2,流失风险用户
U000637,3,高价值用户
U000638,0,潜力用户
U000639,2,一般用户
U000640,2,流失风险用户
U000641,3,流失风险用户
U000642,0,一般用户
U000643,2,一般用户
U000644,0,一般用户
U000645,2,一般用户
U000646,2,一般用户
U000647,2,一般用户
U000648,3,一般用户
U000649,3,潜力用户
U000650,3,潜力用户
U000651,2,流失风险用户
U000652,2,潜力用户
U000653,2,潜力用户
U000654,2,一般用户
U000655,2,潜力用户
U000656,1,流失风险用户
U000657,3,一般用户
U000658,3,一般用户
U000659,3,流失风险用户
U000660,3,潜力用户
U000661,2,一般用户
U000662,3,潜力用户
U000663,2,流失风险用户
U000664,3,潜力用户
U000665,0,潜力用户
U000666,3,一般用户
U000667,2,流失风险用户
U000668,2,一般用户
U000669,3,潜力用户
U000670,2,流失风险用户
