user_id,cluster,rfm_label
U000001,1,潜力用户
U000002,1,潜力用户
U000003,0,一般用户
U000004,1,一般用户
U000005,1,一般用户
U000006,2,流失风险用户
U000007,2,一般用户
U000008,2,流失风险用户
U000009,2,流失风险用户
U000010,2,流失风险用户
U000011,1,高价值用户
U000012,0,高价值用户
U000013,1,一般用户
U000014,1,一般用户
U000015,1,一般用户
U000016,0,一般用户
U000017,1,高价值用户
U000018,1,一般用户
U000019,1,潜力用户
U000020,1,高价值用户
U000021,2,流失风险用户
U000022,1,流失风险用户
U000023,2,流失风险用户
U000024,1,流失风险用户
U000025,1,潜力用户
U000026,0,高价值用户
U000027,1,一般用户
U000028,1,一般用户
U000029,1,高价值用户
U000030,1,一般用户
U000031,1,潜力用户
U000032,1,流失风险用户
U000033,0,潜力用户
U000034,2,流失风险用户
U000035,1,高价值用户
U000036,2,一般用户
U000037,1,一般用户
U000038,0,潜力用户
U000039,1,潜力用户
U000040,1,高价值用户
U000041,1,潜力用户
U000042,1,潜力用户
U000043,1,一般用户
U000044,1,一般用户
U000045,1,潜力用户
U000046,1,潜力用户
U000047,1,一般用户
U000048,1,一般用户
U000049,1,潜力用户
U000050,1,一般用户
U000051,1,一般用户
U000052,1,一般用户
U000053,1,潜力用户
U000054,1,一般用户
U000055,1,流失风险用户
U000056,2,流失风险用户
U000057,2,一般用户
U000058,1,一般用户
U000059,1,一般用户
U000060,1,一般用户
U000061,1,一般用户
U000062,0,一般用户
U000063,1,一般用户
U000064,1,一般用户
U000065,1,一般用户
U000066,0,流失风险用户
U000067,1,潜力用户
U000068,1,潜力用户
U000069,1,一般用户
U000070,1,高价值用户
U000071,1,潜力用户
U000072,1,一般用户
U000073,2,流失风险用户
U000074,1,高价值用户
U000075,1,一般用户
U000076,2,流失风险用户
U000077,1,高价值用户
U000078,1,高价值用户
U000079,0,一般用户
U000080,1,高价值用户
U000081,1,潜力用户
U000082,1,流失风险用户
U000083,1,一般用户
U000084,2,流失风险用户
U000085,0,潜力用户
U000086,1,潜力用户
U000087,1,潜力用户
U000088,1,高价值用户
U000089,1,一般用户
U000090,1,一般用户
U000091,1,一般用户
U000092,0,潜力用户
U000093,2,流失风险用户
U000094,1,流失风险用户
U000095,2,流失风险用户
U000096,0,一般用户
U000097,1,高价值用户
U000098,1,潜力用户
U000099,1,高价值用户
U000100,1,潜力用户
U000101,1,潜力用户
U000102,1,高价值用户
U000103,1,流失风险用户
U000104,1,流失风险用户
U000105,1,潜力用户
U000106,1,高价值用户
U000107,1,潜力用户
U000108,0,一般用户
U000109,1,潜力用户
U000110,0,潜力用户
U000111,1,高价值用户
U000112,1,潜力用户
U000113,1,潜力用户
U000114,1,高价值用户
U000115,1,潜力用户
U000116,2,流失风险用户
U000117,1,潜力用户
U000118,1,高价值用户
U000119,2,流失风险用户
U000120,0,流失风险用户
U000121,0,高价值用户
U000122,1,潜力用户
U000123,1,流失风险用户
U000124,1,一般用户
U000125,1,潜力用户
U000126,1,高价值用户
U000127,0,一般用户
U000128,1,一般用户
U000129,0,高价值用户
U000130,2,流失风险用户
U000131,1,高价值用户
U000132,0,潜力用户
U000133,1,高价值用户
U000134,1,潜力用户
U000135,0,一般用户
U000136,1,潜力用户
U000137,1,流失风险用户
U000138,2,一般用户
U000139,1,高价值用户
U000140,1,一般用户
U000141,1,潜力用户
U000142,1,潜力用户
U000143,2,流失风险用户
U000144,1,潜力用户
U000145,1,一般用户
U000146,1,流失风险用户
U000147,0,流失风险用户
U000148,1,一般用户
U000149,1,一般用户
U000150,1,潜力用户
U000151,1,流失风险用户
U000152,1,潜力用户
U000153,0,潜力用户
U000154,0,高价值用户
U000155,2,流失风险用户
U000156,1,一般用户
U000157,2,流失风险用户
U000158,1,流失风险用户
U000159,1,潜力用户
U000160,1,高价值用户
U000161,1,高价值用户
U000162,0,潜力用户
U000163,0,一般用户
U000164,1,潜力用户
U000165,1,一般用户
U000166,1,潜力用户
U000167,2,流失风险用户
U000168,1,流失风险用户
U000169,0,流失风险用户
U000170,1,流失风险用户
U000171,2,流失风险用户
U000172,2,流失风险用户
U000173,1,高价值用户
U000174,1,潜力用户
U000175,1,潜力用户
U000176,1,一般用户
U000177,0,潜力用户
U000178,1,潜力用户
U000179,0,潜力用户
U000180,1,一般用户
U000181,2,流失风险用户
U000182,1,潜力用户
U000183,1,潜力用户
U000184,1,一般用户
U000185,2,流失风险用户
U000186,0,一般用户
U000187,0,高价值用户
U000188,2,流失风险用户
U000189,0,一般用户
U000190,0,高价值用户
U000191,1,高价值用户
